[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 3.498981880440004, Score, 45.16,sConstrainedRandomWalk,Cost, 70.99469228623339, Score, -45.16, PathLength, 134.0,
hMinimumConnectivity,Cost, 5570.555363034401, Score, 66.6,sConstrainedRandomWalk,Cost, 104.74492476442657, Score, -66.6, PathLength, 198.0,
hMaxDistance,Cost, 1027.3514500870729, Score, 44.90000000000002,sConstrainedRandomWalk,Cost, 70.34146770343153, Score, -44.90000000000002, PathLength, 133.0,
hRandom,Cost, 19.960568000162016, Score, 43.61333333333335,sConstrainedRandomWalk,Cost, 70.60130595055838, Score, -43.61333333333335, PathLength, 129.0,
hRandomDirection,Cost, 9.836378425338127, Score, 43.49000000000001,sConstrainedRandomWalk,Cost, 70.25642773890294, Score, -43.49000000000001, PathLength, 129.0,
hRandomSet,Cost, 16.73620553603812, Score, 47.580000000000034,sConstrainedRandomWalk,Cost, 76.93703468794533, Score, -47.580000000000034, PathLength, 141.0,
hRandomFixedDistance,Cost, 40.69120716100554, Score, 45.32999999999999,sConstrainedRandomWalk,Cost, 73.07888734174097, Score, -45.32999999999999, PathLength, 134.0,
hLowEdgeCostRandomFixedDistance,Cost, 22.78469129637986, Score, 43.44666666666666,sConstrainedRandomWalk,Cost, 69.8929162379564, Score, -43.44666666666666, PathLength, 129.0,
hMinimumConnectivity,Cost, 6406.070875175467, Score, 63.89,sConstrainedRandomWalk,Cost, 103.25465585309881, Score, -63.89, PathLength, 190.0,
hMaxDistance,Cost, 1077.5654848173203, Score, 40.849999999999994,sConstrainedRandomWalk,Cost, 65.84522486303244, Score, -40.849999999999994, PathLength, 121.0,
hRandom,Cost, 18.914969882686307, Score, 42.10000000000001,sConstrainedRandomWalk,Cost, 60.60018112862506, Score, -42.10000000000001, PathLength, 125.0,
hRandomDirection,Cost, 9.448067574477195, Score, 47.26,sConstrainedRandomWalk,Cost, 67.81072143637816, Score, -47.26, PathLength, 140.0,
hRandomSet,Cost, 13.953019677170067, Score, 60.50666666666667,sConstrainedRandomWalk,Cost, 87.59764141805078, Score, -60.50666666666667, PathLength, 180.0,
hRandomFixedDistance,Cost, 38.78227578425218, Score, 46.40666666666668,sConstrainedRandomWalk,Cost, 67.02744338907316, Score, -46.40666666666668, PathLength, 138.0,
hLowEdgeCostRandomFixedDistance,Cost, 52.0343210702138, Score, 52.99000000000003,sConstrainedRandomWalk,Cost, 76.49266755334266, Score, -52.99000000000003, PathLength, 157.0,
hMinimumConnectivity,Cost, 7296.751647718716, Score, 98.58999999999997,sConstrainedRandomWalk,Cost, 142.81894805004058, Score, -98.58999999999997, PathLength, 294.0,
hMaxDistance,Cost, 1050.2565367165323, Score, 45.89,sConstrainedRandomWalk,Cost, 66.36487877316091, Score, -45.89, PathLength, 136.0,
hRandom,Cost, 21.29214537339336, Score, 46.19666666666668,sConstrainedRandomWalk,Cost, 70.27979072142215, Score, -46.19666666666668, PathLength, 137.0,
hRandomDirection,Cost, 10.311081936719182, Score, 42.81000000000001,sConstrainedRandomWalk,Cost, 65.31669229737679, Score, -42.81000000000001, PathLength, 127.0,
hRandomSet,Cost, 16.300945373220365, Score, 50.58333333333332,sConstrainedRandomWalk,Cost, 77.73927411736194, Score, -50.58333333333332, PathLength, 150.0,
hRandomFixedDistance,Cost, 21.172531540209775, Score, 44.49333333333333,sConstrainedRandomWalk,Cost, 67.40044119157635, Score, -44.49333333333333, PathLength, 132.0,
hLowEdgeCostRandomFixedDistance,Cost, 23.683519235676826, Score, 47.55999999999999,sConstrainedRandomWalk,Cost, 72.06380108259417, Score, -47.55999999999999, PathLength, 141.0,
hMinimumConnectivity,Cost, 8370.364176281775, Score, 69.65000000000002,sConstrainedRandomWalk,Cost, 105.5361682934704, Score, -69.65000000000002, PathLength, 207.0,
hMaxDistance,Cost, 1175.577606085878, Score, 44.02,sConstrainedRandomWalk,Cost, 66.37048218527043, Score, -44.02, PathLength, 131.0,
hRandom,Cost, 21.720458203347857, Score, 46.63666666666667,sConstrainedRandomWalk,Cost, 70.5773841567251, Score, -46.63666666666667, PathLength, 138.0,
hRandomDirection,Cost, 10.38230469685248, Score, 45.64000000000001,sConstrainedRandomWalk,Cost, 68.98472468531456, Score, -45.64000000000001, PathLength, 135.0,
